01020003	014E14
0102889A	01919D
010288A4	0102888B
010288A5	01490D
010288A9	0189DE
010288AC	019174
010288AD	019165
010288B0	0148FD
010288BD	019178
010288BE	0191B9
010288CB	01918B
010288E0	0191B3
010288F2	014918
010288F7	0102888C
01028907	019199
01028909	0191B2
0102890C	0191B0
0102890D	0191BD
01028913	017737
0102894A	0191F3
0102894C	019279
0102894D	01928E
0102894F	0191DC
01028969	0194A4
01028979	01924B
0102897B	01920C
0102899F	01950B
010289AD	0194F9
010289B0	0193D0
010289B2	019263
010289E6	019303
010289E9	01940B
010289EB	01525A
010289EC	01028966
010289F2	019371
010289F4	01933D
01028A37	01934E
01028A3B	0193FA
01028A89	019357
01028A8D	01492C
01028A8E	01942D
01028A90	0194AD
01028A93	019363
01028ACF	0192DD
01028AD0	01928D
01028AD8	019537
01028AFC	0193CA
01028AFD	0194E7
01028B10	019562
01028B5B	019574
01028B5C	019558
01028B5D	0194E9
01028B5E	0193CD
01028B7C	019563
01028B93	019564
01028B94	01932A
01028BAB	01944B
01028BDF	01956C
01028BE0	01028B92
01028BE1	019448
01028BE3	01494F
01028C0C	019367
01028C1F	01496F
01028C24	0194C4
01028CB4	018D0E
01028CFE	017950
01028D01	019610
01028D14	0195E2
01028D41	01960E
01028D9D	01587E
01028DF7	0195FD
01028E0F	01961C
01028E18	01962E
01028E1D	016C0F
01028E42	015799
01028E4A	01965C
01028E4E	019650
01028E5F	01964B
01028E76	0196AE
01028E77	0196AE
01028EA8	019102
01028EB5	01961F
01028ED5	0196AE
01028EF6	019699
01028F11	01579E
01028F4D	018C44
01028F58	0196AE
01028F80	0196B6
01028FA5	019E49
01028FF3	019E70
0102900C	0179BB
01029018	019E5E
01029021	0196BE
01029042	0102168A
01029050	019E6D
010290EC	019634
0102911B	014A2F
0102911F	017691
01029147	018500
0102915F	0196F9
010291ED	01021326
01029242	019765
0102926A	017E19
0102927C	017EC5
01029293	019299
010292A6	0172E9
010292B3	015DE9
010292CE	015014
010292F0	017EA3
0102933B	0197AD
01029359	018F56
0102937F	014A87
0102940A	019F51
0102942D	018C02
0102944B	019875
0102947C	019887
01029486	019876
01029491	017736
0102949B	01621A
010294B5	019877
010294CB	018D56
010294EB	0189E0
01029516	017C7B
0102951A	017FC1
0102951C	019882
01029530	01663E
0102953A	019885
01029553	019884
01029554	014AF0
0102958E	0185A8
01029593	0198A6
010295CB	015E06
010295D7	0198D3
0102964E	0150A9
01029681	0198DF
0102968A	019968
0102968E	019965
0102968F	0198E7
010296B7	017C92
010296CA	019971
010296DD	019179
0102970B	019977
01029719	019976
0102972F	01998A
01029759	0155DC
010297B9	01990D
01029810	019996
01029839	015278
01029851	0199A5
010298BE	014B8B
010298CA	014B85
010298E1	014B80
0102991D	019A9B
010299A6	019AD2
010299BC	019A86
010299D9	019AA0
010299E2	019A8B
01029A23	0180AA
01029A3A	0180AE
01029A43	015E79
01029A8B	0187AF
01029AA0	0181BA
01029AEB	019674
01029C6C	016DCB
01029D40	014C31
01029D4B	019C7C
01029DD5	014C76
01029EB4	019CD7
01029EDB	014C8B
01029F06	019CA4
01029F1C	01027410
01029F1E	019CA4
01029F97	019CED
01029FC7	0196C7
0102A057	019E2D
0102A069	0196C9
0102A0A1	019E4F
0102A1AA	019DC7
0102A1B4	014CEB
0102A1BE	019E51
0102A280	01490E
0102A2A8	019E82
0102A2E7	019E9D
0102A301	018292
0102A311	0171AC
0102A369	019992
0102A396	017CDC
0102A424	019C7F
0102A45B	019EF4
0102A471	01526D
0102A4A0	019EEF
0102A4DC	0186BE
0102A4ED	0145A6
0102A4F6	019F07
0102A505	015458
0102A5A6	016D95
0102A5C7	018110
0102A5C9	017CA2
0102A60F	018E00
0102F80A	0150E7
0102F80E	01514D
0102F80F	015154
0102F827	0152E4
0102F828	0152FA
0102F833	01537F
0102F835	017070
0102F83B	015406
0102F849	0155B3
0102F850	015207
0102F873	015C06
0102F877	015C60
0102F87A	015C8D
0102F8A1	01614C
0102F8B8	0162D4
0102F8D0	013B08
0102F8DB	01675E
0102F8DC	016753
0102F908	016E2F
0102F90C	016EC7
0102F934	018564
0102F93D	0176C2
0102F940	0176F4
0102F997	0185BE
0102F9AA	018516
0102F9AE	018542
0102F9C3	018860
0102F9D5	018D32
0102F9D6	018D63
0102F9DF	018F93
0102F9E9	0192D8
0102FA18	019EFE
013405	014E94
013421	0161E6
013430	014FE1
013433	015140
013439	014EE1
013442	014EFF
013444	014FAE
013447	013473
013464	015A8C
013474	014FB5
013477	016001
01347A	014FCA
01347D	01508F
013497	015113
0134A4	016151
0134A8	014ED9
0134B2	018D22
0134B3	014E24
0134B6	01516C
0134C2	015BC7
0134CA	016D1E
0134D5	01706D
0134DB	01529F
0134DC	015E7C
0134DD	015211
0134F6	019532
013503	017EDD
013509	01529A
013518	019EDC
01351C	0152C3
01352D	015319
01353A	014E16
01353D	015363
013547	01782C
013548	015EA1
013551	0153A8
013555	015E7B
013556	017D20
01355A	01722A
01355B	0153CB
01355C	0153F2
01355E	015237
013560	0153CC
013564	0153F4
013565	014EE5
01357A	01547A
01357C	0154C5
013584	01558C
013595	013596
01359E	01558E
0135A0	0190A3
0135B6	018AF2
0135BE	0154A2
0135C6	0155DD
0135CB	015589
0135D0	0155D1
0135D6	015556
0135E4	015601
0135FD	0154CD
01360E	01361A
013611	0156C7
013613	0156D2
013615	015682
013625	0156EE
01362B	015883
01362F	01573A
013631	01574D
013637	01827E
01363B	015794
01363F	01573C
013641	015776
01365A	0157B6
013662	015881
013672	0158C5
01367C	015792
013689	015903
01368C	015925
01368F	015930
013690	015957
0136A2	015974
0136A3	0159E3
0136A9	0159CC
0136B3	0159BF
0136B6	0159D2
0136D4	0159A6
0136D5	0159F6
0136DB	015A20
0136E4	015B4B
0136E9	0159AF
0136EE	015AC2
0136F0	015A5A
0136FD	0159D7
01370F	015998
013711	015A46
01371C	015AEF
013735	01349F
01373B	015A08
01373D	015B50
01373E	015B69
01373F	013428
013740	01597D
013748	015B6A
013749	015BA3
01374A	015B88
01374B	015BE5
01374C	01759A
01374D	015199
013756	015B9C
013759	015BC5
01375B	015BBF
013762	015B87
013766	015BEF
01376F	014FA8
013774	015213
013777	015BFB
013791	015C3E
013795	015C51
0137A1	015C55
0137A2	014E4B
0137AF	015C7A
0137B6	015CB7
0137B9	015CA2
0137C1	015CB8
0137D2	015CEE
0137D4	0137CF
0137E5	015D7E
0137E7	015D3F
0137E9	015CB7
0137ED	015CB7
0137FA	015D5D
0137FC	013802
013800	015C9B
013801	015D7E
013804	015D8D
013810	015CE4
013812	0137FD
013817	015DB4
01381C	015DB7
01381D	015DD1
01382D	015C55
013836	015E06
013838	01886D
013860	015E27
013873	015E95
01387F	0165A5
013882	013888
013898	015EC9
0138AA	015F19
0138AE	015F1B
0138B4	01897F
0138BD	019975
0138CB	014E39
0138E6	019036
0138EB	0152A8
0138F1	0147C4
0138F2	015FAE
0138FC	015FCD
013900	015FD8
013901	015FDD
013902	016025
013903	0159A8
013905	017231
013907	0161CA
013913	017B28
013919	016069
01391B	016041
01391F	016050
013924	01395A
013929	01606A
01392A	016028
01392C	01605A
013930	01600D
01393A	01614C
013943	0195F7
01394B	01506F
01395E	019083
013964	0177DC
013966	0160EC
013967	01987A
01396B	0160C7
01396E	013918
013971	0160B1
013975	016141
01398D	016115
013994	016079
013996	0161D1
01399E	0161E4
0139A0	01603C
0139A4	0161FF
0139A7	0161AF
0139AF	016216
0139B8	01621F
0139BE	01624A
0139BF	016237
0139CF	016386
0139D6	01627C
0139E8	01624F
0139F1	0162FF
0139FC	014FF5
0139FF	016450
013A08	016324
013A14	0164BC
013A15	01650D
013A17	016377
013A23	0162E5
013A24	0139DF
013A26	0139D0
013A2F	016269
013A3F	0164DA
013A40	0164DA
013A41	0169B7
013A4E	0164EB
013A55	0162CE
013A57	01643A
013A65	016515
013A66	01643A
013A73	0139D0
013A75	0164DC
013A7B	016530
013A85	0166F4
013A89	016546
013A9D	0162E3
013A9F	016566
013AA3	016572
013AC1	0165AD
013AC4	0165C1
013AC5	0165D7
013ACB	0165C3
013AD1	0165E8
013AD4	01826E
013ADE	013AE6
013AE7	0166B4
013AEA	016625
013AF3	016668
013AFA	016614
013B0C	01666F
013B0D	0166DD
013B19	016690
013B1C	01664B
013B20	016652
013B25	0166B4
013B27	0166B4
013B29	0166B3
013B31	0166FF
013B4A	016790
013B4B	0168D2
013B4E	0168E1
013B71	015323
013B7B	0168E0
013B84	01699C
013B86	016AF1
013B8B	01682F
013B8C	0168C9
013B8E	01676F
013BA3	016982
013BAE	016854
013BB3	01681A
013BB5	016834
013BC7	016890
013BC8	016A15
013BCD	016868
013BD0	01692D
013BD3	0169BB
013BD6	013B59
013BDF	019E93
013BE3	0168FB
013BE6	0168CB
013BEA	0168C2
013C02	0168EF
013C05	016A00
013C09	01699B
013C0F	017BD9
013C10	01692D
013C16	016984
013C19	016A60
013C1E	0155E4
013C4F	016B63
013C55	015F52
013C58	019B47
013C68	016B93
013C7F	0158F3
013C87	01549A
013C88	0197F6
013C9C	016BEF
013CAD	016BEF
013CB2	016C0E
013CB6	016C2F
013CB7	016C2E
013CBE	0196E8
013CC2	016CBF
013CC3	016DEC
013CC5	016D41
013CC8	016C9B
013CD1	016EA2
013CD2	016CD5
013CD9	016D93
013CE0	016FBE
013CED	016D8E
013D05	016D88
013D06	016D78
013D09	016D4E
013D15	016F57
013D1E	016ED4
013D34	016E5B
013D3E	016E24
013D4E	016DA7
013D55	016FA1
013D71	016F02
013D78	017039
013DA4	017092
013DA8	01708B
013DAA	01708B
013DAB	0171CE
013DBB	0170FD
013DC7	016062
013DCA	01711A
013DD3	01719C
013DD4	017130
013DD6	017167
013DD9	01714E
013DF1	01718A
013DFB	0165E0
013E00	0170B1
013E01	0171AF
013E02	0171E7
013E09	0171EE
013E15	01652B
013E18	014E07
013E27	019F88
013E3E	017263
013E60	018C5A
013E64	01602F
013E83	0172D7
013E85	017334
013E9A	01736D
013EAB	01738C
013EAE	017397
013EB2	0194AE
013EB3	0173AB
013ECE	01745F
013ED7	017432
013EDD	013ECB
013EEE	0174A8
013F04	017391
013F4D	015769
013F52	017525
013F56	017559
013F57	014EA9
013F5C	017579
013F5E	017559
013F6C	018F90
013F6F	017566
013F78	01760E
013F84	018B9F
013F8A	017620
013F8C	017663
013FC2	017665
013FCB	017619
013FE2	018000
013FF7	017CD9
014006	015C3D
01400B	0176D0
01400E	017704
014036	014041
014039	01776B
014049	014048
014056	01779C
01405E	017701
014066	0189D1
014079	017765
014093	0189C4
014096	0177F3
01409D	0177FA
0140A1	017825
0140A5	017888
0140B2	01781D
0140BB	019503
0140CD	015760
0140D8	01787B
0140E0	0178B9
0140E9	017847
0140FA	0178E8
014100	017978
01410C	01918A
014112	017A14
014115	01793E
014122	019F50
01412C	0179FB
01412D	015E74
01413A	017A0A
01413D	017C7C
014147	017C9F
014149	017A0F
01415F	017A47
014160	017A0A
014192	017A76
014197	017A88
0141A0	015BA6
0141A9	0151A5
0141B2	013769
0141BB	017A8D
0141F2	017B74
014230	0168A2
01427C	016599
01428B	017CDA
0142B6	017EBC
0142B7	017F01
0142C1	017EE0
0142C4	017F51
0142DC	017DAE
0142DE	017F51
0142E0	018865
0142E7	017D47
0142EF	017DAE
0142F2	017EF3
0142F3	018919
0142F8	014649
0142F9	015E45
014301	014645
014304	017EE0
014307	017D22
014309	017EB2
01430A	017E47
014313	017E41
014315	017E3B
01431B	017E47
01432B	017F06
014337	017D2C
014339	017D45
01433D	017DB5
01435E	017F6D
014369	01517B
01436D	017242
014379	017FB6
0143A3	01801C
0143B1	0143AC
0143B9	0195FB
0143BE	017754
0143CA	01804B
0143CB	018083
0143D2	0180D6
0143D4	018098
0143D5	01996A
0143DD	01819E
0143EF	0175E3
0143F8	014433
0143FB	0180FD
01440C	018146
014417	01809A
014421	018110
014452	015230
014453	0181FA
014455	019F20
01445B	018210
01445E	01821C
014480	014467
014482	016868
014483	019020
014497	01829E
0144A3	0182D2
0144A9	018402
0144AC	0183AB
0144AD	017B49
0144B1	0184B8
0144B6	015929
0144C1	017B49
0144C5	0182B9
0144CA	018323
0144D6	0185ED
0144D7	018525
0144E6	015178
0144F6	0185FE
0144F7	018347
0144F9	019950
0144FA	01863C
0144FF	0183E1
014509	01849C
01450B	01838E
01450D	017B03
014512	0184D3
014525	018427
014535	01844C
014543	01836B
01454F	0183AA
014551	018470
014556	01836A
01455A	018489
014560	01855F
014564	018572
014568	0185E4
01456F	0185B8
014580	018648
014582	01864A
01458B	018650
01458D	018654
01458F	015904
0145A0	018788
0145A3	0186A4
0145A4	01873F
0145AB	01868C
0145AE	018801
0145B8	0186FE
0145B9	0186D8
0145BD	01870A
0145BF	01870A
0145CB	0186D1
0145CF	01878B
0145EA	0187C5
0145EB	0187C6
0145F6	018721
0145FE	0186AC
014601	01883D
014603	0187D4
014607	01868A
01460A	01881B
01460B	014602
014610	018844
014614	015580
014619	01536B
01461A	015352
01461C	015DFE
014629	0188A8
01462B	0188BD
01462E	014E27
014631	0188D5
01463F	0188A6
014640	017EF7
014653	01896C
014656	017EF7
014657	018905
01465D	014EB5
014661	01464C
01466A	01897B
01466D	018930
014670	018935
014673	01719B
01467A	01899D
014695	0177D6
01469E	016B79
01469F	016B79
0146B0	018B4C
0146B1	014FE1
0146B2	018BAA
0146B9	018B4C
0146C2	018A83
0146CC	0146EC
0146D0	018BCD
0146D1	018C27
0146D2	018FA9
0146D5	018C00
0146D6	018A4D
0146DB	018A6F
0146DC	018BAF
0146DF	01550A
0146E1	018BDD
0146E6	018BBC
0146E7	018C1C
0146EE	015003
0146FA	018BEB
0146FC	018B6D
014701	018B11
014703	015860
014704	018B18
014718	018B66
01471B	018C17
01471F	018C36
014723	018A22
014729	018B8C
014735	018C49
01473B	018C49
01473F	017AD6
014742	017AD6
014747	018C57
014748	018C5F
014757	018C85
014758	016BC5
014760	017342
014768	018D24
01476F	018CA4
014774	019F4E
01477C	01478D
01477E	018D4B
01477F	018D35
01478B	0156AB
0147AC	01900F
0147B0	0147C4
0147BC	017A9C
0147C6	018DF8
0147CE	018DB1
0147D6	018DBE
0147DA	018E11
014801	018DFB
014802	01695A
01480A	015255
01480E	019F8C
014825	018E69
01482E	01817E
014830	018E21
014832	018046
014836	015C04
014839	019AB8
014840	015103
014845	018F34
014847	018ECF
01484B	018EDD
01484C	019783
014856	018F7B
014858	014852
014859	018F2C
014865	014846
014879	018F7E
01487C	018EE8
014884	0167B2
014889	01519C
01489C	015F52
01489F	017531
0148A0	019001
0148A4	018FF0
0148A6	015E05
0148AA	016A47
0148AB	01968F
0148AF	019074
0148B5	0190E7
0148B7	0190A3
0148BE	0159FA
0148CC	0190B8
0148DE	019102
0148E8	019187
0148F4	019157
01491C	01949D
01491E	019217
01491F	019202
014920	019224
014928	0191FD
014931	018A93
014939	01953C
014945	017434
014946	017434
014947	014982
01494A	019516
014950	01936A
014951	01933D
014955	019405
014956	0194BF
01495A	01521D
014962	0193E7
014976	019549
014977	0194E1
01497A	0191FE
01497D	0193FA
014983	01942F
014985	019425
014986	019481
014987	019AFB
014999	015BFA
01499B	0149B6
01499C	0190DA
01499E	0195F0
01499F	017A33
0149A7	01960B
0149A8	019611
0149B7	017A33
0149CD	019699
0149D5	0157DF
0149D9	019675
0149DC	015858
0149E0	01911F
0149E1	015889
0149E3	01967B
0149F8	019E2A
0149FB	019E3D
0149FC	019E44
0149FF	019E4A
014A03	019DC3
014A05	019E69
014A06	019DE9
014A07	0153CC
014A09	019E66
014A0E	019710
014A13	0196F7
014A14	0196F9
014A16	019701
014A19	01972A
014A20	01972D
014A26	0196F1
014A29	017075
014A2A	01973E
014A2B	019721
014A2D	019704
014A2E	0196EA
014A36	019723
014A37	019730
014A51	019783
014A5A	014A58
014A66	019797
014A75	0197D7
014A78	017E19
014A84	01714C
014AA0	019F51
014AA2	019F51
014ACD	01982B
014AD9	0198A1
014ADD	0199A5
014AEB	019AC5
014AF1	0198A5
014AF7	01989A
014B03	0198D2
014B17	0198CF
014B19	0198BB
014B1A	0198BF
014B1D	014B16
014B24	019961
014B25	019950
014B2A	01998E
014B2E	019974
014B3B	01996F
014B4B	019971
014B4C	01992C
014B5B	01994F
014B66	01998E
014B6B	017A3D
014B6C	017A3D
014B76	019A90
014B7C	019A90
014B7E	019A6E
014B81	019A88
014B83	019A71
014B86	0199D3
014B87	019A48
014B88	019A70
014B90	0199C9
014B9B	019A78
014BB2	019A1C
014BBC	019A4E
014BBF	019A9E
014BC1	019AA1
014BCE	019AAD
014BD0	019AB8
014BD7	019AC0
014BDD	019AD3
014BEF	019AFF
014BF3	019B06
014BFA	019AFA
014C05	019B1A
014C0B	019B18
014C11	019B1A
014C14	014C09
014C19	019218
014C1B	019B32
014C1C	019B32
014C1F	019B42
014C23	019B4D
014C28	019B45
014C2D	014C30
014C3A	019B6A
014C3F	019B80
014C44	019B6A
014C46	019C66
014C48	019BA8
014C54	019BC8
014C56	019C21
014C58	019BEC
014C5F	01871B
014C70	019C96
014C77	014CA3
014C7D	019CB3
014C84	019CD8
014C8D	019C27
014C9F	019BA3
014CA0	019C06
014CA1	019C0C
014CA2	019C27
014CA5	019E20
014CA8	019E3F
014CAB	019E20
014CB4	019E29
014CB5	0196C0
014CB7	0167AD
014CCA	014CC1
014CCC	019E43
014CD2	019E22
014CD8	019E45
014CDC	019D4C
014CE8	0151F0
014CF6	019E02
014CFC	019E25
014CFD	019E64
014D09	019E6E
014D0A	019E03
014D0B	019E6E
014D0C	019E0F
014D0E	019E13
014D12	019E30
014D13	019CFE
014D14	019D41
014D15	019D37
014D16	019D84
014D17	019DAA
014D18	019DC9
014D21	014E3D
014D25	019E9A
014D44	019EB7
014D46	014D3F
014D5B	014D56
014D5E	019EE5
014D7A	015722
014D87	019F2C
014D9A	019F8B
014DAE	019F91
014E04	014E0A
014E05	014E0B
014E0C	015176
014E17	014E16
014E1F	014E22
014E20	015180
014E21	014E24
014E23	019149
014E26	015E76
014E46	014E45
014E55	01864E
014E57	014E58
014E68	0159CB
014E79	014E7E
014E7F	016CBB
014E80	019F9F
014E81	014E7E
014E82	014E71
014E8A	014E8B
014E93	015176
014E9C	014E9A
014E9D	019F50
014E9E	014E9A
014EAF	014EAB
014EB0	014EAC
014EB1	01591C
014EBE	014EA1
014ECC	0151B0
014EE6	014EEF
014EED	014EDE
014EFE	014F4E
014F02	016C9B
014F03	0159A4
014F16	015E11
014F1C	015005
014F1D	014F20
014F29	014FE1
014F2E	0152AA
014F35	014F90
014F40	014F3C
014F44	019163
014F47	014F2B
014F4B	01662D
014F72	019169
014F82	018BAC
014F86	016765
014F8C	019634
014F96	014ED1
014FAB	014F5E
014FB6	014FA3
014FBD	017537
014FC1	014FE3
014FD6	01500D
014FE0	014FA0
014FFB	015907
015000	014F25
015002	014F75
015006	014FE9
015009	014ED3
01500B	014E2A
015010	01500F
015011	014EEC
015023	014EFF
015024	01503C
01502B	014F26
015036	014FF1
015039	014FED
015040	0182F1
015041	0179F0
015045	0150EE
015049	014F1F
015058	014F83
015062	0150FD
015069	018D1F
01506A	01903C
015074	014FA7
015075	014FA6
015079	015907
01507A	0154B1
01507D	014F2A
015093	01717D
015096	014F27
015098	014F1E
015099	015907
0150AF	01506C
0150B3	014F20
0150B4	014F1B
0150B5	01503A
0150B7	014F24
0150BE	01503E
0150C2	01507B
0150C5	014EC5
0150C9	014F65
0150D1	014FA8
0150DE	014F2A
0150E5	014FA5
0150E8	01507E
0150E9	0150F4
0150EB	015641
0150F2	014ED9
0150F7	01505E
0150F9	014EF7
015100	014EEA
015101	014FCA
015102	014FAC
015104	014EBF
015108	014FA9
015109	014FED
01510C	014FA5
01510D	0150BB
015110	0150A7
015114	014FE6
015115	014FAA
015118	014FAD
01511F	01507F
01512A	014F18
01512B	018C6A
015132	0150A8
015137	014FEA
01513A	0150A9
01513B	0150A5
01513C	014FE8
01513D	0150AB
015142	017C2A
01514A	015151
01514C	015151
01514E	015154
015150	01513F
015152	01513F
015157	015156
015166	014EA1
015167	015185
015169	014E24
01516A	014FDE
01517E	015180
01517F	01827A
015183	015E3D
015184	015189
01518A	01518C
015190	015192
01519D	015B9C
0151A1	018499
0151A6	015BC7
0151A8	015BCC
0151A9	015199
0151AA	015196
0151BA	016CEF
0151BE	016D3D
0151CD	0151BB
0151DC	0151DB
0151E3	0151E2
0151E6	015904
0151E8	0198CE
0151F1	0151EF
0151FC	015E7D
015202	015200
015204	015203
015209	01520F
015225	01522B
015226	0152AB
015227	0152AB
01522A	015220
015234	015241
01523C	0152AB
015244	01522D
015247	015219
015257	01522C
01525B	01521A
01525D	015265
015264	015242
01526E	015250
015274	015240
015275	01521B
01527A	015253
015283	015212
015287	015267
015289	015218
01528A	01523D
01528B	01527F
01528C	01523F
01528D	015251
015291	015242
0152A2	0152B1
0152B4	0152B3
0152C1	0152B2
0152C4	01654F
0152D0	01731B
0152D5	0152A8
0152D9	0152A1
0152DB	0152CB
0152DD	0180DC
0152DE	0152B3
0152E2	0152BF
0152E3	017EE9
0152E6	01527F
0152E7	01529D
0152E9	0152DA
0152F5	0152B1
0152F8	01529D
0152FB	015300
015304	014E10
01531E	015320
01531F	017095
015325	017B32
015329	015321
01532D	015326
01532F	016C47
015331	01532E
015338	01653E
015340	01533A
015346	015352
01534B	014E16
015354	01534F
015365	01897F
01536D	01909B
01537D	015373
015380	01819D
015397	019511
015399	01538D
01539B	015385
0153A0	015395
0153AD	01538C
0153AF	016B77
0153B2	015389
0153B3	014E25
0153B4	0153A3
0153B5	016E90
0153BA	0153BB
0153C1	0153C2
0153C3	0153C2
0153CF	01592C
0153D3	014E8B
0153DC	0153DF
0153E2	014E1B
015407	015527
015422	015423
01543D	01543C
01543F	01544A
015445	01543B
015451	01541E
01545D	015443
015463	018C0B
01546A	015492
01548A	01548C
01549E	0154EF
0154AE	015685
0154B2	017B11
0154B6	018210
0154BC	015459
0154CC	015471
0154E1	015458
0154F0	015520
015503	015502
015504	015457
015516	0154D1
015519	015600
01554F	0195EE
015552	01553F
015553	01542F
015554	01542F
015557	015556
015559	015470
01555E	0154D1
01555F	01542F
015562	015521
015568	0160C5
01557A	015510
015585	015537
01559A	015524
01559E	015527
0155A8	0154F4
0155AA	014E27
0155AC	014E54
0155AE	015355
0155B2	0154DF
0155B6	018425
0155C6	01545B
0155C7	01556C
0155CA	01551D
0155CD	0155FD
0155CE	015417
0155DA	01545C
0155E9	015522
0155F6	0154D4
0155F8	0155F7
015606	0153F9
01560A	015540
01560D	0155BD
015614	015455
015616	015567
015617	015C1D
01561C	01551B
015620	01560E
015628	015578
015629	0154D7
01562B	017136
01562E	015520
01562F	015578
015630	0153FD
015635	0154D3
015637	0155E5
015638	015452
01564D	0156BC
01564F	015438
015650	015668
015653	015618
015656	01541F
01565D	01549D
015660	0154D2
015661	018C35
015665	0154DD
015666	0154D5
01566F	0155F3
015672	0154D9
015674	0155B7
015678	015428
01567E	015591
015680	01549B
015687	015413
015689	015484
015695	01565C
015696	015612
015699	01556E
01569E	015586
0156A0	016D4F
0156A2	0156CA
0156A6	015456
0156A8	015499
0156AD	01567D
0156B3	0155BE
0156B4	014E25
0156B6	015624
0156BB	0156A3
0156C0	01556D
0156C1	0155EB
0156C2	0156A3
0156C5	015181
0156C8	015453
0156C9	015570
0156CC	0182CF
0156CF	018270
0156D1	015631
0156D9	0156E0
0156E3	0156E2
0156F8	0165E5
0156FC	0180CE
015707	0156F5
01570B	0156FD
01570D	0156F4
01570F	015708
015712	0156ED
015713	015706
015716	0156FE
015718	0156E2
015721	01571F
015727	01538B
01572B	0158BA
015735	0158E4
015744	0157BC
01574B	01574C
015753	01578B
015754	015730
015763	0158C6
015778	0157A2
01577F	019644
015796	015806
01579C	01579B
0157BA	0190DB
0157BE	015CB8
0157C0	015782
0157C1	015C91
0157C5	019632
0157C8	015CFB
0157D3	0157D2
0157DC	0191CE
0157E1	0157AD
0157F0	0191C7
0157F7	016267
0157FD	01626B
015805	01575A
01580A	0157A9
015818	015856
01581D	0157DA
015822	015821
015826	019636
01582F	015C27
015831	0162A5
015834	01573A
01583A	01754C
015841	015792
01584A	015757
01584B	018314
01584F	0157B2
015850	015851
015852	0157D8
015857	016D82
015861	01586B
015862	01575E
015864	0157D9
015866	019635
015869	0176D0
015872	01573A
015875	015C18
015879	015811
01587C	017816
01588A	0157AB
015895	015830
015896	015854
015897	01589E
01589C	015760
0158A2	01577A
0158A5	017583
0158AA	0158A9
0158AB	016A3D
0158AE	015815
0158B0	01575B
0158B3	01575F
0158BB	015899
0158BE	0157A6
0158C3	017586
0158C7	01575B
0158CC	0158E4
0158CD	015811
0158D0	0173BA
0158D3	01538B
0158D8	015792
0158D9	015739
0158DA	015786
0158DC	01575B
0158DE	01574F
0158DF	015784
0158E0	015784
0158E2	01575C
0158E9	01575D
0158EF	0158EE
0158F2	015356
0158F7	0158F6
0158F8	0158FC
0158FA	0158F6
0158FB	015A7F
0158FD	015BFF
015900	015BFF
015909	0153D8
015918	01536F
01591B	01591A
01591D	016674
015920	01591F
015922	0168A6
015923	0168A6
015936	016BD4
01593E	015939
01594C	0170B9
015950	015942
015953	015962
01595C	016590
01595E	01594E
015967	015965
015969	015941
01596A	01593A
01596C	015956
01596E	01594B
01597C	0159F9
01599B	015AB8
01599D	015986
0159B4	015A49
0159C9	0159CA
0159CD	0159D7
0159D9	01598A
0159E2	015A1F
0159E7	015978
015A02	015985
015A12	0159C6
015A1B	015A31
015A24	015986
015A26	015AD4
015A2F	015A31
015A3F	015A40
015A41	015A04
015A4F	015A29
015A59	015A67
015A5E	0160BB
015A63	0159FB
015A66	015987
015A6D	015A05
015A87	014EB2
015A8D	015987
015AA7	015A32
015AAF	0159AB
015ABD	015988
015AD7	0159AA
015AED	015AEE
015AF0	015AE9
015AF5	0159A9
015AF7	015AA0
015AFB	015A34
015AFF	015A73
015B00	0159AB
015B08	015A06
015B0A	015B3F
015B0B	015A75
015B0C	015A07
015B19	015AF1
015B21	015AD2
015B2A	015AD4
015B30	015A74
015B38	015A76
015B3A	015ADF
015B3E	0161D2
015B43	015B22
015B46	015A74
015B49	015A58
015B4C	015A08
015B60	0155E3
015B61	0180CE
015B6B	015B59
015B78	015B66
015B7E	015A74
015B7F	015B6A
015B82	015197
015B86	017A79
015B8D	018089
015B9F	015B9E
015BB2	015B9E
015BBB	015BC6
015BBC	015BC7
015BC3	0151A4
015BCE	017A89
015BCF	019662
015BD1	015BDD
015BDB	015BBD
015BDC	015B81
015BE2	015BDD
015BE6	015B9E
015BE7	015B81
015BE9	015BA1
015BEB	015199
015BEC	015BBD
015BF3	015B9D
015BF5	015BA0
015BF6	015B9D
015BFE	015BF9
015C02	014E13
015C05	01524B
015C07	015C06
015C08	014E13
015C0B	015BFB
015C0D	015BF9
015C0E	015BFC
015C19	015C1A
015C1E	0171CE
015C28	019F99
015C2D	015C27
015C37	015C34
015C5B	015C4F
015C5C	015C49
015C62	015C61
015C64	015C42
015C68	015C66
015C6C	015C5E
015C6D	015C53
015C8B	015C8C
015CA1	015188
015CB4	015C96
015CDD	015CD2
015CEF	015CF0
015CF2	015CDB
015CF4	015C98
015CF6	015C9B
015CFD	015CE1
015D08	015D07
015D0D	015D03
015D17	015C97
015D22	015CE5
015D27	015D69
015D2C	015CBD
015D50	015C9A
015D57	015C81
015D73	015D6F
015D81	015D5D
015D84	015D2D
015D87	015C96
015D8B	015C9B
015D8C	015C9B
015D94	015D5A
015D97	015D02
015DA0	015CE4
015DA2	015CE3
015DA7	015CC4
015DA8	015CC3
015DB8	015D58
015DBA	015CAD
015DBC	015C7F
015DCB	015CBF
015DD2	015CE6
015DD3	015DC5
015DD4	015DC5
015DE0	015759
